iter	Logloss
0	0.5640659575
1	0.4806362037
2	0.4130295846
3	0.3573976098
4	0.2902188317
5	0.2479880791
6	0.2155485441
7	0.1869510457
8	0.1617614615
9	0.1491634065
10	0.1388512487
11	0.1261876163
12	0.1174269009
13	0.1057601313
14	0.1027746509
15	0.09635191836
16	0.08997932554
17	0.0859787846
18	0.08324806875
19	0.07960536026
20	0.07677787317
21	0.07281217171
22	0.06926566784
23	0.06704364802
24	0.06352259772
25	0.06161260741
26	0.05929880214
27	0.05768067572
28	0.05624225203
29	0.05469740303
30	0.05280149554
31	0.05135935808
32	0.0501836471
33	0.04808072982
34	0.04669019799
35	0.04535414162
36	0.04431129295
37	0.04383052719
38	0.04255918271
39	0.04113528952
40	0.03986806154
41	0.03952777781
42	0.03858604694
43	0.03819065801
44	0.0372264702
45	0.03659316987
46	0.03535684013
47	0.03460470491
48	0.03340333197
49	0.03287594324
50	0.03197135314
51	0.03135328206
52	0.03028597108
53	0.02925838936
54	0.02843118934
55	0.0273809358
56	0.0265861032
57	0.02585811774
58	0.02532477433
59	0.02480095898
60	0.02399224843
61	0.0233982114
62	0.02329816656
63	0.02274278912
64	0.02222689836
65	0.02199918709
66	0.02130069581
67	0.02069243428
68	0.02007705398
69	0.01926600668
70	0.01884816399
71	0.01871234221
72	0.01865890825
73	0.01834745496
74	0.01808417699
75	0.01783743264
76	0.01748530137
77	0.0169430202
78	0.01651529227
79	0.01649203302
80	0.01644125037
81	0.01640648122
82	0.01635606635
83	0.0160107403
84	0.01599035244
85	0.01548933902
86	0.01519903731
87	0.01514837039
88	0.01501831847
89	0.01469484278
90	0.01446939916
91	0.01416183113
92	0.01407865682
93	0.01394376863
94	0.01370548208
95	0.01366160913
96	0.01361633877
97	0.01313513413
98	0.01306215535
99	0.01300077403
100	0.01296758059
101	0.01241417266
102	0.01219332643
103	0.01175606701
104	0.01165788392
105	0.01131285623
106	0.01103830821
107	0.01090876619
108	0.0107983596
109	0.01064624325
110	0.01046616902
111	0.01031418525
112	0.01004006911
113	0.009890822045
114	0.00979712417
115	0.009578050113
116	0.009344105224
117	0.009152414394
118	0.009026920001
119	0.008772970779
120	0.008724521492
121	0.008643770622
122	0.008632960405
123	0.008613789169
124	0.008482334093
125	0.008408655374
126	0.008206078506
127	0.008189640304
128	0.008083435712
129	0.008052502746
130	0.008043240416
131	0.008030778979
132	0.008015501919
133	0.00789433046
134	0.007861900742
135	0.007781384661
136	0.007689803723
137	0.007529358279
138	0.007502651143
139	0.007495053591
140	0.007489362097
141	0.007397639949
142	0.007248492156
143	0.007243050084
144	0.007107133501
145	0.007043571558
146	0.00704020294
147	0.006918806949
148	0.00685498804
149	0.006799404849
150	0.006684994995
151	0.006673989553
152	0.006539289642
153	0.006396771312
154	0.006292510843
155	0.006190418819
156	0.006170801709
157	0.006111077114
158	0.006106532488
159	0.006058631343
160	0.005975643752
161	0.005864601048
162	0.005786381005
163	0.00568303362
164	0.005678724245
165	0.005574488058
166	0.005519431265
167	0.005501570913
168	0.005501272561
169	0.005451730047
170	0.005386413826
171	0.005256037119
172	0.005098048871
173	0.005044732894
174	0.005041574723
175	0.004946892289
176	0.004902503008
177	0.004902473395
178	0.004899437592
179	0.004899474382
180	0.004864421188
181	0.004820125594
182	0.004758399882
183	0.004755279906
184	0.004750366087
185	0.004682865339
186	0.00457714033
187	0.004524457218
188	0.004495895423
189	0.004481285749
190	0.004481223859
191	0.004425692035
192	0.004341978489
193	0.004279650495
194	0.004271451894
195	0.004234525478
196	0.004195304999
197	0.004193755534
198	0.004185008811
199	0.004175843708
